{ Methods = 133, Name = System.Type }
{ Methods = 109, Name = System.AppDomain }
{ Methods = 94, Name = System.Reflection.Emit.TypeBuilder }
{ Methods = 78, Name = System.String }
{ Methods = 74, Name = System.Threading.Tasks.TaskFactory }
{ Methods = 69, Name = System.Reflection.Emit.ModuleBuilder }
{ Methods = 66, Name = System.Text.StringBuilder }
{ Methods = 60, Name = System.Globalization.DateTimeFormatInfo }
{ Methods = 58, Name = System.Reflection.Emit.GenericTypeParameterBuilder }
{ Methods = 57, Name = System.Globalization.NumberFormatInfo }
{ Methods = 56, Name = System.Reflection.Assembly }
{ Methods = 53, Name = System.Reflection.Emit.AssemblyBuilder }
{ Methods = 52, Name = System.AppDomainSetup }
{ Methods = 52, Name = System.IO.TextWriter }
{ Methods = 51, Name = System.Collections.Generic.List`1 }
{ Methods = 49, Name = System.Reflection.Emit.MethodBuilder }
{ Methods = 46, Name = System.Reflection.Emit.EnumBuilder }
{ Methods = 46, Name = System.Text.Encoding }
{ Methods = 44, Name = System.Globalization.Calendar }
{ Methods = 44, Name = System.Reflection.Module }
{ Methods = 43, Name = System.Collections.ArrayList }
{ Methods = 43, Name = System.Globalization.CompareInfo }
{ Methods = 42, Name = System.Runtime.Serialization.SerializationInfo }
{ Methods = 40, Name = System.Threading.Tasks.Task }
{ Methods = 39, Name = System.Reflection.Emit.ILGenerator }
{ Methods = 39, Name = System.Threading.Tasks.TaskFactory`1 }
{ Methods = 38, Name = Microsoft.Win32.RegistryKey }
{ Methods = 35, Name = System.IO.Stream }
{ Methods = 35, Name = System.Security.Cryptography.X509Certificates.X509Certificate }
{ Methods = 34, Name = System.IO.UnmanagedMemoryAccessor }
{ Methods = 34, Name = System.Threading.Thread }
{ Methods = 33, Name = System.IO.DirectoryInfo }
{ Methods = 33, Name = System.Reflection.TypeDelegator }
{ Methods = 32, Name = System.Array }
{ Methods = 32, Name = System.Reflection.AssemblyName }
{ Methods = 31, Name = System.Reflection.MethodBase }
{ Methods = 31, Name = System.Security.Permissions.SecurityPermissionAttribute }
{ Methods = 30, Name = System.Globalization.CultureInfo }
{ Methods = 30, Name = System.Reflection.Emit.ConstructorBuilder }
{ Methods = 29, Name = System.Collections.SortedList }
{ Methods = 29, Name = System.IO.FileStream }
{ Methods = 29, Name = System.IO.IsolatedStorage.IsolatedStorageFile }
{ Methods = 29, Name = System.Reflection.Emit.DynamicMethod }
{ Methods = 29, Name = System.Reflection.FieldInfo }
{ Methods = 28, Name = System.IO.FileInfo }
{ Methods = 28, Name = System.Security.SecurityException }
{ Methods = 27, Name = System.Reflection.PropertyInfo }
{ Methods = 26, Name = System.Reflection.Emit.PropertyBuilder }
{ Methods = 26, Name = System.Security.PermissionSet }
{ Methods = 25, Name = System.Globalization.GregorianCalendar }
{ Methods = 25, Name = System.Globalization.HijriCalendar }
{ Methods = 25, Name = System.Security.AccessControl.ObjectSecurity }
{ Methods = 25, Name = System.Security.Cryptography.RSACryptoServiceProvider }
{ Methods = 25, Name = System.Security.Cryptography.SymmetricAlgorithm }
{ Methods = 25, Name = System.Security.Policy.CodeGroup }
